incorrect_name,correct_name
Jin Gitaxias/Great Synthesis,Jin-Gitaxias, Progress Tyrant
archimage emeritus,Archmage Emeritus
Forbid,Forbid
Howlpack Piper,Howlpack Piper
Kozilek,Kozilek, Butcher of Truth
sakashima's protege,Sakashima's Protege
roaming  throne,Roaming Throne
PROLIFERATE,Thrummingbird
annihilation cycling,Decree of Annihilation
can't be countered,Vexing Shusher
koma,Koma, Cosmos Serpent
surrak dragon claw,Surrak Dragonclaw
thryx the sudden storm,Thryx, the Sudden Storm
must have,Arcane Denial
ketria trio me,Ketria Triome
ascetecism,Asceticism
stomping grounds,Stomping Ground
delighted half long,Delighted Halfling
catuar inscription of abundance,Inscription of Abundance
cankerbloom removal,Cankerbloom
boseiju who endures,Boseiju, Who Endures
graveyard into library,Elixir of Immortality
gara's blessing,Gaea's Blessing
colossal something,Colossal Dreadmaw
exile commanders,Homeward Path
howling abomination,Howling Abomination
devious cover up,Devious Cover-Up
Jace memory adept,Jace, Memory Adept
jaces sanctum,Jace's Sanctum
jaces mindseekr,Jace's Mindseeker
Jace Wilder of mysteries,Jace, Wielder of Mysteries
mana,Arcane Signet
zhurr taa druid,Zhur-Taa Druid
omnath,Omnath, Locus of Creation
goblin anarchimancer,Goblin Anarchomancer
klithys god of destiny,Klothys, God of Destiny
animar soul of elements,Animar, Soul of Elements
comet storm better than fireball,Comet Storm
niv mizzet,Niv-Mizzet, Parun
kinnan bonder prodigy,Kinnan, Bonder Prodigy
etali primal conqueror,Etali, Primal Conqueror
kazuul land,Kazuul's Fury
Jin-Gitaxias,Jin-Gitaxias, Progress Tyrant
Kozilek,Kozilek, Butcher of Truth
Koma,Koma, Cosmos Serpent
Boseiju,Boseiju, Who Endures
Gaea's Blessing,Gaea's Blessing
Colossal Dreadmaw,Colossal Dreadmaw
Howling Abomination,Howling Abomination
Jace,Jace, the Mind Sculptor
Jace's Sanctum,Jace's Sanctum
Jace's Mindseeker,Jace's Mindseeker
Omnath,Omnath, Locus of Creation
Klothys,Klothys, God of Destiny
Niv-Mizzet,Niv-Mizzet, Parun
Etali,Etali, Primal Conqueror
Kazuul's Fury,Kazuul's Fury 